Municipality,Year,Value
Sever do Vouga,2011,14.0
Vagos,2011,38.0
Vale de Cambra,2011,38.0
Aljustrel,2011,8.0
Almodóvar,2011,3.0
Alvito,2011,4.0
Barrancos,2011,6.0
Beja,2011,49.0
Castro Verde,2011,8.0
Cuba,2011,5.0
Ferreira do Alentejo,2011,27.0
Mértola,2011,5.0
Moura,2011,23.0
Odemira,2011,35.0
Ourique,2011,1.0
Serpa,2011,15.0
Vidigueira,2011,12.0
Amares,2011,73.0
Barcelos,2011,199.0
Braga,2011,305.0
Cabeceiras de Basto,2011,24.0
Celorico de Basto,2011,17.0
Esposende,2011,41.0
Fafe,2011,74.0
Guimarães,2011,278.0
Póvoa de Lanhoso,2011,25.0
Terras de Bouro,2011,23.0
Vieira do Minho,2011,17.0
Vila Nova de Famalicão,2011,198.0
Vila Verde,2011,93.0
Vizela,2011,45.0
Alfândega da Fé,2011,9.0
Bragança,2011,74.0
Carrazeda de Ansiães,2011,13.0
Freixo de Espada à Cinta,2011,14.0
Macedo de Cavaleiros,2011,25.0
Miranda do Douro,2011,17.0
Mirandela,2011,73.0
